client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
4698689,6.0,81.0,25.5,U,3.0,93892.52,6.0,9.0
5268337,9.0,113.0,40.0,F,2.0,93180.63,3.0,6.0
4483567,4.0,58.0,39.5,U,3.0,265917.18,6.0,9.0
4242907,13.0,164.0,60.5,F,2.0,862397.3500000001,6.0,9.0
7355737,13.0,164.0,56.0,F,3.0,86767.64,2.0,5.0
8687676,17.0,204.0,60.0,M,2.0,82752.68,2.0,5.0
1237798,13.0,159.0,56.0,F,2.0,111454.14,6.0,9.0
310721,5.0,69.0,46.5,M,2.0,115942.52,1.0,4.0
5220791,7.0,90.0,49.5,U,2.0,79594.45999999999,2.0,5.0
9049247,9.0,110.0,36.0,M,2.0,82978.2,0.0,3.0
2268691,24.0,288.0,53.0,F,2.0,109984.81,1.0,4.0
5194828,23.0,283.0,56.5,M,2.0,112755.19,1.0,4.0
5319610,22.0,274.0,61.0,F,2.0,187371.85,2.0,5.0
7395578,20.0,251.0,46.5,M,2.0,70817.68,3.0,6.0
3430824,15.0,188.0,41.0,F,2.0,76149.93,1.0,4.0
3455139,16.0,201.0,54.5,M,3.0,286108.19,6.0,9.0
6480575,29.0,357.0,51.5,F,3.0,74454.95999999999,6.0,9.0
8514205,14.0,179.0,62.0,F,2.0,81695.18,1.0,4.0
9425800,6.0,75.0,62.0,M,2.0,433525.7,6.0,9.0
7894096,10.0,130.0,49.0,M,2.0,108245.25,5.0,8.0
2646971,14.0,178.0,40.0,F,3.0,201255.77,5.0,8.0
5414090,11.0,138.0,41.0,M,2.0,128171.0,3.0,6.0
668594,7.0,91.0,37.0,U,2.0,176399.8,6.0,9.0
4440880,13.0,157.0,77.0,F,2.0,177021.38,1.0,4.0
3584720,11.0,143.0,48.5,M,2.0,129343.33,4.0,8.0
7207209,28.0,336.0,55.5,M,3.0,1111922.01,3.0,6.0
4401157,13.0,163.0,38.5,F,2.0,78264.79999999999,1.0,4.0
4943507,9.0,108.0,26.5,M,2.0,72640.97,5.0,8.0
2257239,10.0,125.0,72.5,M,2.0,438630.5,1.0,4.0
9646052,10.0,131.0,38.5,F,2.0,191309.96,1.0,4.0
4672205,12.0,155.0,32.0,M,2.0,78782.29999999999,0.0,3.0
1595223,23.0,279.0,83.0,M,3.0,1291698.48,5.0,8.0
7542655,23.0,276.0,74.0,F,3.0,262005.96999999997,6.0,9.0
3859670,23.0,276.0,48.0,F,2.0,160829.46999999997,2.0,5.0
1273425,22.0,272.0,32.0,M,3.0,237521.21,2.0,5.0
5902655,25.0,306.0,66.0,F,2.0,388850.31,3.0,6.0
9299978,18.0,226.0,46.0,F,3.0,128166.32,6.0,9.0
2385222,11.0,138.0,44.0,M,2.0,67624.03,1.0,4.0
8556063,8.0,98.0,36.0,U,2.0,71283.93,1.0,4.0
5263052,5.0,64.0,45.5,U,2.0,239964.42,3.0,6.0
3213762,5.0,60.0,36.5,U,4.0,143339.31,3.0,6.0
802406,8.0,106.0,61.5,F,2.0,278987.13,4.0,7.0
5374782,11.0,142.0,56.0,F,3.0,143590.14,2.0,5.0
9386426,4.0,56.0,41.0,U,2.0,63619.91,4.0,7.0
6038811,6.0,73.0,30.5,U,3.0,83172.73,6.0,9.0
9404494,30.0,370.0,57.5,M,2.0,303661.05,6.0,9.0
4875942,11.0,143.0,51.0,F,2.0,100434.54,2.0,5.0
9418418,15.0,180.0,53.5,M,3.0,849117.2200000001,5.0,8.0
5376894,13.0,157.0,48.0,F,2.0,107170.61,6.0,9.0
3773950,14.0,178.0,26.0,M,2.0,100977.16,0.0,3.0
8051395,16.0,194.0,40.0,M,2.0,159308.44,6.0,9.0
7484370,5.0,68.0,45.0,U,2.0,137811.74,2.0,5.0
8721817,11.0,138.0,50.0,M,2.0,85141.58,1.0,4.0
1600568,15.0,189.0,63.5,M,4.0,1647432.92,3.0,7.0
2340830,12.0,154.0,50.5,F,2.0,73857.86,1.0,4.0
3561951,6.0,78.0,66.5,U,2.0,585539.3,1.0,4.0
7171907,23.0,277.0,77.5,F,2.0,70542.14,4.0,7.0
4641800,21.0,259.0,22.0,M,2.0,64684.21,6.0,9.0
2508004,17.0,207.0,43.5,M,3.0,112753.79,6.0,9.0
4991019,17.0,205.0,60.5,F,3.0,108815.75,3.0,6.0
7091719,34.0,418.0,66.5,F,3.0,705580.75,0.0,5.0
356380,37.0,447.0,73.0,F,3.0,459026.19,6.0,9.0
1180831,7.0,91.0,63.0,U,2.0,353084.93,3.0,6.0
49709,4.0,54.0,67.5,M,2.0,83722.73,4.0,7.0
5882141,13.0,158.0,29.5,M,4.0,180879.77,6.0,9.0
3478279,5.0,71.0,47.0,U,2.0,87816.4,2.0,5.0
9510995,8.0,105.0,60.0,M,2.0,66133.82,1.0,4.0
7501794,13.0,157.0,50.5,M,2.0,154097.41,3.0,6.0
7353453,4.0,58.0,30.0,U,2.0,262835.2,2.0,5.0
5758630,15.0,191.0,36.5,M,5.0,626551.7100000001,6.0,9.0
4106730,8.0,97.0,26.0,M,7.0,2106692.05,6.0,9.0
9399521,15.0,190.0,36.0,F,2.0,68778.18,2.0,5.0
6092467,15.0,183.0,45.5,M,2.0,72408.38,2.0,5.0
8376269,12.0,151.0,42.5,F,2.0,269699.67,6.0,9.0
6523060,6.0,75.0,41.5,M,2.0,102507.93,0.0,3.0
6076090,7.0,91.0,30.5,U,2.0,122181.54,6.0,9.0
5749834,8.0,106.0,27.0,F,2.0,98049.66,6.0,9.0
529008,8.0,96.0,39.0,U,2.0,86831.44,5.0,8.0
9720223,25.0,306.0,33.5,M,3.0,326394.57,6.0,9.0
5595860,22.0,266.0,49.0,M,3.0,332920.51,3.0,6.0
4303935,19.0,237.0,59.5,M,3.0,339002.91,6.0,9.0
4988650,6.0,76.0,66.0,M,2.0,72813.9,5.0,8.0
2592527,7.0,95.0,40.0,U,2.0,81760.26,5.0,8.0
4959337,3.0,45.0,37.5,U,3.0,157606.46000000002,3.0,6.0
7762280,7.0,89.0,74.0,U,2.0,173262.77999999997,6.0,9.0
7320092,8.0,103.0,68.5,U,2.0,324309.49,6.0,9.0
2044842,3.0,45.0,51.0,U,2.0,331068.19,6.0,9.0
1056689,33.0,407.0,66.5,M,3.0,79531.06,6.0,9.0
5437380,4.0,55.0,56.5,U,2.0,432051.15,6.0,9.0
6199818,11.0,143.0,45.5,M,3.0,68201.11,6.0,9.0
3071700,15.0,190.0,68.5,M,2.0,209551.69,0.0,3.0
3924564,6.0,83.0,57.5,U,2.0,66190.31,6.0,9.0
9238418,24.0,298.0,69.5,M,4.0,501859.77,4.0,7.0
3424024,11.0,139.0,70.5,M,2.0,226576.67,4.0,7.0
9267320,15.0,181.0,64.5,F,3.0,138364.39,6.0,9.0
4430317,16.0,192.0,68.0,M,3.0,530566.6900000001,6.0,9.0
7016886,5.0,66.0,25.5,U,2.0,104248.64,6.0,9.0
3905252,14.0,173.0,70.0,M,2.0,418729.39,3.0,6.0
745787,7.0,87.0,49.0,U,2.0,70153.17,4.0,7.0
9318531,14.0,170.0,42.0,F,2.0,133867.03999999998,0.0,3.0
2978729,18.0,227.0,48.5,M,2.0,231871.14,6.0,9.0
7619691,5.0,66.0,34.5,U,3.0,155293.34000000003,6.0,9.0
2616521,5.0,68.0,21.5,U,2.0,113493.05,6.0,9.0
6010271,6.0,78.0,36.5,U,3.0,219952.13,6.0,9.0
4099829,20.0,242.0,66.5,F,2.0,68943.33,1.0,4.0
9792423,19.0,237.0,74.0,F,2.0,161064.34999999998,1.0,4.0
9988775,18.0,216.0,36.0,M,5.0,818353.75,6.0,9.0
